MPA,Islas_estudio,RP,SB,S,C,Estudio,Type,Grupo de estudio,Number,Topic,year,Titulo,Autor,Resumen,Indicadores 
Revillagigedo,"Roca Partida, San Benedicto y Socorro",RP,SB,S,NA,Directo,Tesis de maestría,Peces_c,1,Etología ,2023,Abundancia de tiburones y el efecto del buceo recreativo en el archipiélago de Revillagigedo,O. Cacho-Movellan,"El Archipiélago de Revillagigedo es de gran importancia ecológica y se considera relevante para la conservación de tiburones. La presencia de nueve especies de tiburones en la zona ha impulsado la actividad del buceo dentro del parque. En el presente estudio se pretende determinar la abundancia de tiburones mediante estaciones de video submarinas con carnada (BRUVS) y censos visuales (UVC), así como la evaluación del efecto del buceo recreativo en la abundancia de tiburones. Para los UVC se calcularon las abundancias relativas de las especies de tiburones por sitio de buceo y año de muestreo (2015-2019) ypara los BRUVS (2014-2017) se determinó por medio del MaxN. En los UVC se encontraron nueve especies, siendo el Triaenodon obesus y Sphyrna lewini las más abundantes. En los BRUVS se registraron seis especies, de las cuales Carcharhinus albimarginatus y Carcharhinus falciformis presentaron la mayor abundancia. Se encontraron diferencias significativas en la abundancia de las tres especies más abundantes en relación con el sitio y año. Roca Partida fue la localidad que presentó un mayor número de tiburones, seguido de El Cañón. Con el fin de analizar los cambios en la abundancia entre sitios, meses y variables ambientales, se ajustaron modelos aditivos generalizados (GAM). La temperatura fue significativa (p = 0.011) en el GAM para explicar la abundancia de T. obesus. En los modelos en los que se incluyó el número de buceadores en el medio no se encontró una relación significativa con la abundancia, sin embargo, no se puede descartar una mayor probabilidad de observar grupos de tiburones de mayor tamaño cuando el número de buceadores fue menor a siete.",BRUVS
Revillagigedo,Roca Partida,RP,NA,NA,NA,Directo,Artículo,Peces_c,1,Telemetría,2022,"Evidence for spatial and temporal resource partitioning of sharks at Roca Partida, an isolated pinnacle in the eastern Pacific","A. Klimley, J. Ketchum, Frida Lara-Lizardi, Y. Papastamatiou, E. Hoyos-Padilla","En mar abierto, los ciclos de movimiento vertical de los depredadores en respuesta a los entornos físicos y la distribución de las presas son fundamentales para el comportamiento de las especies depredadoras. Los ensamblajes multiespecíficos de tiburones proporcionan un escenario ideal para estudiar la partición del hábitat por parte de los depredadores de nivel superior en el medio marino. Hemos llevado a cabo un estudio piloto, utilizando telemetría acústica, para examinar el uso vertical del hábitat de cuatro especies de tiburones en Roca Partida, una pequeña isla dentro del Archipiélago de Revillagigedo. Roca Partida es un pináculo muy pequeño (100 m de longitud) pero muy productivo en mar abierto y puede representar un ""oasis"" para los grandes depredadores marinos. En Roca Partida se detectaron individuos de cuatro especies, el tiburón arenero, el tiburón de Galápagos, el tiburón punta plateada y el tiburón punta blanca, durante periodos variables a lo largo de dos años y medio, mostrando altos niveles de residencia. Algunos tiburones permanecieron en un solo lado de Roca Partida durante todo este periodo de tiempo. Encontramos evidencias de división vertical del hábitat entre especies, lo que puede representar una división de recursos, aunque hubo cierta variabilidad intraespecífica. Nuestros datos preliminares sugieren que Roca Partida puede ser un lugar ideal para estudiar la partición de nichos entre tiburones debido a la limitada disponibilidad de hábitat pero la alta productividad.","Telemetría acústica,"
Revillagigedo,Socorro y Benedicto,NA,SB,S,NA,Mención,Tesis,Invertebrados,1,Diversidad ,2022,Cnidarios en el Pacífico Oriental Tropical: Archipiélago de Revillagigedo,A. Serratos Barajas,"En 2017, Ocean Exploration Trust’s Nautilus Exploration Program (OET)colaboró en la campaña NA  092 con investigadores  de  la  Universidad  Nacional  Autónoma  de  México  (UNAM)en  el marco  del  proyecto “Exploring  and  Mapping  theRevillagigedo  Archipelago  World  Heritage Site  in  Mexico”. En éste se efectuó  un  levantamiento  batimétrico  del  Archipiélago  de Revillagigedo  y  se  realizaron  observaciones  y  colectas de  muestras  geológicas  en  hábitats bénticos  medofóticos  y  afóticos  usando los ROVs Hercules y Argusa  bordo  del  buque oceanográfico Nautilus, del 31 octubre al 13 noviembre.  Esta tesis se apoyó en los videos e imágenes de alta definición, que por primera ocasión se adquirieron en la exploración de las estructuras volcánicas en fondos marinos profundos del Archipiélago de Revillagigedo, en el Pacífico Oriental Tropical(POT). De las 4 islas volcánicas (San Benedicto, Socorro, Roca Partida y Clarión) del Archipiélago de Revillagigedo este estudio presenta resultados de tres transectos realizados al NW y al NE de la Isla Socorro en un intervalo de profundidad de 339a 1425m. Este intervalo está atravesado por una zona de oxígeno mínimo (concentración de O2disuelto de 0.5 ml/l= 22 M). La diversidad de cnidarios que ocurre en columna de agua y en hábitats del fondo marino se obtuvo de la revisiónde553 videos depositados en la base de datos UNINMAR. La diversidad se describió a nivel de morfotipos por la dificultad de visualizar los caracteres morfológicos en los  videos. El número  de  registros  de  cnidarios  en  columna  de  agua  fue  muy  reducido: unejemplar  del orden Semaeostomeae, uno del  orden  Limnomedusaey uno del  orden Narcomedusae que ocurrieron entre 683 y 1421m de profundidad. El estudio de cnidarios de columna de  agua  a  partir  de  videos  está  en  su  inicio  y  tiene  diversas  limitantes  en  el reconocimiento  de  las  especies  en  un  espacio  4D  y  la  necesidad  de  integrar  de  forma combinada conducta y morfología. Por ello,el número bajo de ejemplares es común. Los hábitats bénticos registrados incluyen depósitos volcánicos superpuestos y derrames de lava almohadillada emplazados a través de tubos  largos.  Asociados a estos fondos se observaron 18 ejemplares:  4 del orden  Actiniaria, 6  del  orden Alcyonacea,  5  del orden Scleractinia, 2  del  orden  Antipathariay  1 del  orden  Pennatulacea para  profundidades  en  un intervalo de 339 a 1383 m. El estudio de las especies bénticas se ha estudiado mejor. Los valores se comparan a los de diversos sitios de archipiélagos en el POT.La composición y  riqueza  de  cnidarios  en  columna  de  agua  y  bénticos cambian  con  la profundidad.  A la  vez las  especies  bénticas  se  relacionan  con  la  geomorfología  del  fondo marino y la concentración de oxígeno disuelto.",Identificación taxonómica a través de vídeos de ROVs Hercules y Argusa  
Revillagigedo,Todas,RP,SB,S,C,Comparación,Tesis,Peces_c,1,Estructura comunitaria,2022,Uso de cámaras remotas para el estudio de comunidades de peces pelágicos en el Suroeste del Golfo de California y el Archipiélago de Revillagigedo,"Sánchez-Gómez, H. ","Realizar un seguimiento continuo de las comunidades marinas es importante para su
manejo y conservación. Desafortunadamente, debido a las dificultades metodológicas, los
esfuerzos de monitoreo en el ambiente pelágico han sido pocos en comparación con los
del ambiente bentónico. Es por ello que se han implementado nuevas tecnologías para
facilitar el monitoreo en estos hábitats, tal y como son las cámaras remotas cebadas
(BRUVS por sus siglas en inglés). El presente estudio tiene como objetivo utilizar esta
herramienta para comparar las comunidades de peces pelágicos en dos regiones y sus
localidades: el Suroeste del Golfo de California (SGC) y el Archipiélago de Revillagigedo
(AR); haciendo énfasis en el nivel trófico promedio y el efecto de la profundidad de fondo.
Para cada sitio se identificaron las especies y sus abundancias con base al número máximo
de individuos en un data frame por hora (MaxNhr). Para cada localidad se calcularon los
índices de diversidad (H, D, J, ?+) y se realizaron análisis de ordenación. Para conocer si
existían diferencias en la composición de especies se realizó un análisis PERMANOVA, y un
análisis SIMPER para conocer las especies responsables de dichas diferencias. Para
comprobar si existían diferencias significativas en el Nivel Trófico por región y localidades,
se realizó una prueba de Kruskall-Wallis utilizando el valor trófico de cada especie,
obtenido de FishBase, en función de su abundancia relativa y gremio trófico. En cuanto a
la profundidad de fondo, las cámaras fueron clasificadas en someras (?30 metros) o
profundas (>30 metros). Finalmente se aplicó un análisis PERMANOVA para comprobar las
diferencias estadísticas, y se distinguió la aportación de cada gremio trófico y preferencia
de hábitat en función de la abundancia relativa. Se lograron colocar y analizar
correctamente 140 cámaras (SGC = 29, AR =111), lo que corresponde a 244.1 horas
efectivas de grabación. Se identificaron un total de 60 especies (SGC = 41; AR = 30) y se
contabilizaron 8,507 individuos. Las curvas de acumulación y estimadores de diversidad
indicaron un buen esfuerzo de muestreo para el AR, pero pobre para el SGC. Con
excepción del índice J a nivel localidad, y el índice D a nivel región, no se encontraron
diferencias significativas entre los índices de diversidad. En contraste, los análisis de
ordenación y PERMANOVA si encontraron diferencias entre regiones y localidades. De
manera similar el Nivel Trófico fue mayor en el AR debido a una mayor cantidad de
carnívoros superiores. Con respecto a la profundidad, el análisis PERMANOVA encontró
diferencias significativas entre los ensambles. Mientras que los ambientes someros
tuvieron más abundancia de peces arrecifales y carnívoros inferiores, los ensambles
profundos presentaron una proporción similar de carnívoros superiores e inferiores,
dominados por especies pelágicas. Los resultados anteriores indican que la diversidad de
peces pelágicos es similar entre ambas regiones, pero difieren en cuanto a uniformidad y
composición, lo que deja en evidencia la importancia de las áreas naturales protegidas
para la conservación de los depredadores tope.",BRUVS
Revillagigedo,"San Benedicto, Socorro, Roca Partida ",RP,SB,S,NA,Directo,Tesis de maestría,Peces_o,1,Estaciones de limpieza,2022,Interacciones de limpieza y estructura de la comunidad de peces en arrecifes rocosos del archipiélago de Revillagigedo,A. Nicolás-Chávez,"Los monitoreos de la ictiofauna en los arrecifes brindan información relevante de las condiciones en las que se encuentra el ecosistema, y ayudan a detectar sus respuestas ante acciones de manejo y conservación. En las comunidades ícticas, las interacciones de limpieza favorecen la salud de los organismos mediante la remoción de ectoparásitos y piel muerta, y podrían aumentar la biodiversidad y abundancia local. El archipiélago de Revillagigedo alberga una alta riqueza de especies ícticas endémicas, protegidas y en peligro de extinción, aunque debido a su lejanía, los trabajos ictiológicos en la zona son escasos. El propósito de este trabajo fue describir las interacciones de limpieza que ocurrieron en Revillagigedo, caracterizar la estructura de la comunidad íctica y evaluar la relación entre la diversidad de especies y la ocurrencia de interacciones. Se realizaron censos visuales con buceo autónomo empleando las técnicas de transectos de banda (peces arrecifales) y transectos errantes (peces pelágicos) en las islas Socorro, San Benedicto y Roca Partida durante cuatro temporadas turísticas (noviembre-junio) desde 2017 hasta 2021. Se registraron 277 interacciones de limpieza en las que participaron siete especies de limpiadores y 23 especies como clientes (15 peces óseos y ocho elasmobranquios). En el caso de los limpiadores, Johnrandallia nigrirostris tuvo la mayor cantidad de clientes (n=16), mientras que Mobula birostris y Carcharhinus albimarginatus fueron los clientes que se relacionaron con un mayor número de limpiadores (n=cuatro). La mayor frecuencia de interacción limpiador-cliente se obtuvo para Holacanthus clarionensis-M. birostris en isla Socorro y San Benedicto, y J. nigrirostris-Paranthias colonus en Roca Partida. La riqueza y diversidad fueron estadísticamente diferentes entre las islas. Las especies dominantes en el archipiélago pertenecieron a las familias Carangidae, Labridae y Serranidae. Las especies pelágicas fueron más abundantes en Roca Partida y las especies arrecifales en Socorro, islas con el mayor valor de disimilitud entre ellas. La diversidad de especies pelágicas tuvo una influencia positiva en el número de interacciones de limpieza registradas. Esta información corresponde al primer acercamiento para identificar a las especies que participan en las interacciones de limpieza, así como su posible relación con características de la comunidad íctica de Revillagigedo.",Censos visuales. transectos de banda (peces arrecifales) y transectos errantes (peces pelágicos) 
Revillagigedo,Socorro y Clarión,NA,NA,S,C,Comparación,Artículo,Peces_o,1,Filogeografía ,2022,Phylogeography and evolutionary history of the Panamic Clingfish Gobiesox adustus in the Tropical Eastern Pacific,"E. Torres-Hernández, I. Betancourt-Resendes, M.G. Solís-Guzmán, D.R. Robertson , A. Angulo, J.E. Martínez-Gómez, E. Espinoza, O. Domínguez-Domínguez","Gobiesox adustus está ampliamente distribuida en el Pacífico Oriental Tropical (PTE), desde el centro del Golfo de California, México hasta Ecuador, incluyendo el archipiélago oceánico de Revillagigedo y la Isla del Coco. Esta especie criptobentónica está restringida a hábitats de arrecifes rocosos muy poco profundos. Aquí utilizamos un marcador de ADN mitocondrial y tres de ADN nuclear de 155 individuos recolectados a lo largo del área de distribución de la especie para evaluar si existen poblaciones geográficamente estructuradas y dilucidar su historia evolutiva. Los análisis filogenéticos revelaron un grupo monofilético, con cuatro subgrupos alopátricos bien sustentados. Cada subgrupo correspondía a una de las siguientes regiones/provincias biogeográficas bien conocidas: 1) el archipiélago de Revillagigedo, 2) las provincias de Cortés + México (México), 3) la provincia Panámica (de El Salvador a Ecuador), y 4) la isla del Coco. Un análisis de reloj molecular mostró una fecha media para la divergencia entre el clado I (las provincias de Revillagigedos y Cortés + México) y el clado II (provincia Panámica e Isla del Coco) en el Plioceno, en ca. 5,33 Mya. Dentro del clado I, la segregación entre las poblaciones de Revillagigedos y Cortez + provincias mexicanas fue datada en ca. 1,18 Mya, durante el Pleistoceno. Dentro del clado II, la segregación entre las muestras de la Isla del Coco y las de la provincia Panámica fue datada en ca. 0,77 Mya, durante el Pleistoceno. El árbol de especies, las pruebas bayesianas de delimitación de especies (BPP y STACEY), el ?ST, AMOVA, y las sustanciales distancias genéticas que existen entre esos cuatro subgrupos, indican que son unidades evolutivas independientes. Estos eventos cladogenéticos parecen estar relacionados con discontinuidades de hábitat y procesos oceanográficos y geológicos que producen barreras al flujo genético para G. adustus, cuyos efectos se ven potenciados por las características ecológicas intrínsecas de esta especie.",Un marcador ADN mitocondrial y tres ADN nuclear
Revillagigedo,Socorro,NA,NA,S,NA,Directo,Artículo,Invertebrados,1,Taxonomía holoturidos,2022,"Holothuria (Lessonothuria) coronata sp. nov. (Echinodermata, Holothuroidea), a new species of sea cucumber from Socorro Island, México","B. Anaid Yáñez Villanueva, F. A. Solís-Marín, A. Laguarda-Figueras","Holothuria (Lessonothuria) coronata sp. nov. habita a profundidades de 5–10 m frente a la costa del Pací- fico mexicano en el archipiélago de Revillagigedo. Se distingue claramente de otras especies del subgénero por la presencia de tablas con disco circular y grandes orificios periféricos, a veces con una segunda serie de orificios periféricos, disco con borde espinoso o liso y espira con una sola viga transversal, papilas dorsales y pies ambulacrales ventrales con barrotes de soporte curvados, con borde espinoso.","Identificación morfológica,  toma de fotografías y descripcion taxonómica"
Revillagigedo,Todas,RP,SB,S,C,Comparación,Artículo,Peces_c,1,Telemetría,2022,Studies of the movement ecology of sharks justify the existence and expansion of marine protected areas in the Eastern Pacific Ocean,"A. Klimley, Randall Arauz, S. Bessudo, Elpis J. Chávez, Nicole Chinacalle, E. Espinoza, J. Green, A. Hearn, Mauricio Hoyos-Padilla, Elena Nalesso, J. Ketchum, César Peñaherrera-Palma","Presentamos una recopilación de los resultados telemétricos publicados, complementada con la adición de nuevos resultados cuando es necesario, para justificar la ampliación de las áreas marinas protegidas en el Pacífico Oriental. Además, aportamos pruebas de que el esfuerzo pesquero de los buques comerciales, que llevan radiobalizas de seguimiento de posición comunicadas por satélite, ha disminuido dentro de sus límites. Los investigadores han descrito la ecología de movimientos de nueve especies de tiburones en estos lugares insulares: el archipiélago de Galápagos frente a Ecuador, la isla de Malpelo frente a Colombia, la isla del Coco frente a Costa Rica y el archipiélago de Revillagigedo frente a México. Se han utilizado principalmente dos técnicas telemétricas: (1) la colocación de balizas ultrasónicas codificadas en los individuos y la detección de su presencia con receptores autónomos desplegados a lo largo de las costas de las islas y (2) el equipamiento de los individuos con marcas SPOT y PSAT: las primeras permiten al satélite ARGOS detectar a los individuos que nadan en la superficie, las segundas se liberan de los individuos y suben a la superficie para transmitir al mismo satélite posiciones basadas en la geolocalización. Esta información ha permitido a México crear el Parque Nacional de Revillagigedo, a Colombia aumentar el tamaño del Santuario de Fauna y Flora de Malpelo y a Costa Rica crear un corredor de protección entre Cocos y los montes submarinos de Las Gemelas. El seguimiento por satélite de tiburones fuera de los límites actuales de la Reserva Marina de Galápagos respalda la necesidad de aumentar su tamaño en el futuro. Por lo tanto, los estudios telemétricos han desempeñado y siguen desempeñando un papel esencial a la hora de proporcionar una justificación bien fundamentada para que los gestores de la investigación adapten el tamaño de sus reservas marinas a las ecologías espaciales de las especies que albergan.",Dos técnicas telemétricas: (1) balizas ultrasónicas codificadas con receptores autónomos y (2) marcas SPOT y PSAT 
Revillagigedo y Hawaii,Isla Clarión,NA,NA,NA,C,Comparación,Artículo,Mamíferos marinos,1,Distribución ,2022,Humpback whales (Megaptera novaeangliae) attend both Mexico and Hawaii breeding grounds in the same winter: mixing in the northeast Pacific,"J.D. Darling , K. Audley, T. Cheeseman, B. Goodwin, E.G. Lyman, J. Urbán ","Se supone que las ballenas jorobadas que se reúnen en zonas de reproducción invernal en México y Hawai están, al menos, estacionalmente aisladas. Recientemente, estos conjuntos han sido declarados Segmentos de Población Distintos en virtud de la Ley de Especies en Peligro de Estados Unidos. Informamos de dos ballenas jorobadas que asisten a ambas zonas de cría en la misma temporada: una se desplaza de Hawai a México y la otra de México a Hawai. La primera fue fotoidentificada en Maui, Hawaii, el 23 de febrero de 2006 y de nuevo, tras 53 días y 4545 km, el 17 de abril de 2006 en el Archipiélago de Revillagigedo, México. La segunda fue fotoidentificada frente a Guerrero, México, el 16 de febrero de 2018 y de nuevo, 49 días y 5944 km después, el 6 de abril de 2018 frente a Maui. La ballena de 2006 fue identificada en verano frente a la isla de Kodiak, Alaska; la de 2018 frente a la Columbia Británica. Estas identificaciones de México-Hawaii proporcionan evidencia definitiva de que las ballenas en estos dos conjuntos de invierno pueden mezclarse durante una temporada de invierno. Esto, combinado con otras líneas de evidencia sobre la mezcla México-Hawaii, incluyendo el intercambio de individuos año con año, la similitud a largo plazo de cantos siempre cambiantes, un registro anterior de viaje en la misma estación, y la detección de ballenas jorobadas en medio del océano entre estos lugares en invierno, sugiere que la reevaluación de la ""distinción"" de estas poblaciones puede estar justificada.",Fotoidentificación 
Revillagigedo,"San Benedicto, Socorro",NA,SB,S,NA,Directo,Artículo,Diatomeas,1,Riqueza de especies de diatomeas,2022,"Additions to the Mastogloia (Bacillariophyceae: Mastogloiales) of the Revillagigedo Archipelago, Mexico","D.A. Siqueiros-Beltrones, F.O. López-Fuerte, Y.J. Martínez, M. Altamirano-Cerecedo","Ciertas especies de diatomeas, principalmente aquellas que sobresalen en una taxocenosis, pueden ser referencias útiles al abordar tópicos ecológicos y biogeográficos diversos. Este es el caso con las especies de Mastogloia, que frecuentemente representan el grupo más diverso dentro de asociaciones de diatomeas bentónicas marinas en mares tropicales. Con base en la inspección de taxocenosis de diatomeas epifitas de macroalgas rojas y pardas, se agregaron 23 nuevos registros de taxones de Mastogloia a la florística de diatomeas epifitas del archipiélago de Revillagigedo. Las formas más conspicuas fueron frecuentes y algunas parecían dominar las asociaciones, e.g., Mastogloia binotata, M. cocconeiformis, M. cuneata, M. fimbriata, M. inaequalis, M. ovum-paschale y M. punctatissima, además de otras registradas previamente. Entre los nuevos registros, M. asperuloides, M. graciloides, M. peragalloi y M. mauritiana, también se observaron frecuentemente. La lista resultante incluye 8 nuevos registros para costas mexicanas, pero no se encontraron nuevos taxones del género. No obstante, dado que fueron pocos los talos de macroalgas inspeccionados, se espera que la revisión de superficies macroalgales de otros taxones, así como otro tipo de sustratos, incrementará la riqueza de especies de Mastogloia que se registren para el archipiélago",Identificación taxonómica y riqueza específica 
